Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,ROCHESTER NY SISTER CITIES 1,28 Fitzhugh St N,,Rochester,NY,14614,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.156137,-77.614096,02/20/2024,145450,2024-02-20 01:15:01,,,,09/21/2019,J1772
ELEC,Village of Canastota,205 S Peterboro St,,Canastota,NY,13032,,315-697-7559,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,43.077499,-75.752256,03/08/2023,187159,2024-01-31 22:07:01,P,,,03/22/2021,J1772
ELEC,Waterloo Premium Outlets,655 New York 318,,Waterloo,NY,13165,,833-632-2778,E,,Public,24 hours daily,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.955930,-76.920970,02/20/2024,166226,2024-02-20 02:16:27,,,,09/05/2020,CHADEMO J1772COMBO
ELEC,854ELLICOTT 589 ELLICOTT 4,589 Ellicott St,,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.895786,-78.868325,02/20/2024,181838,2024-02-20 01:29:15,,,,01/27/2021,J1772
ELEC,NORTHEAST IS STATION 1,880 Watervliet Shaker Rd,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.738597,-73.820505,02/20/2024,194320,2024-02-20 01:36:22,,,,08/27/2021,J1772
ELEC,STONY BROOK UNV ENGINEERING,Engineering Dr,,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.912355,-73.125968,02/20/2024,169335,2024-02-20 00:18:37,,,,11/19/2020,J1772
ELEC,Islandia Shopping Center - Tesla Supercharger,1750 Veterans Hwy,,Islandia,NY,11598,,877-798-3752,E,,Public,24 hours daily,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,40.804844,-73.180149,07/01/2023,116807,2023-07-14 19:41:28,P,,,12/01/2018,TESLA
ELEC,Fullerton Properties,347 Fullerton Avenue,,Newburgh,NY,12550,,888-998-2546,E,,Public,24 hours daily,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,41.513757,-74.025546,02/20/2024,325259,2024-02-20 00:01:43,,,,01/11/2024,J1772
ELEC,203 E 71st St.,203 E 71st St,,New York,NY,10021,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,40.768940,-73.960470,01/09/2024,223298,2024-01-31 22:07:01,P,,,05/17/2022,J1772
ELEC,TOWN OF HURLEY MAIN LOT,2 Wamsley Pl,,Hurley,NY,12443,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.926193,-74.067190,02/20/2024,155285,2024-02-20 01:22:31,,,,04/10/2020,J1772
ELEC,MINNEWASKA EV 2,5281 US-44,,Kerhonkson,NY,12446,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.730062,-74.234947,02/20/2024,171409,2024-02-20 01:27:24,,,,01/21/2021,J1772
ELEC,Borland House Bed and Breakfast - Tesla Destination,130 Clinton St,,Montgomery,NY,12549,,845-457-1513  877-798-3752,E,,Public,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.526824,-74.236306,10/06/2022,114981,2023-01-18 15:15:20,P,,,10/24/2016,J1772 TESLA
ELEC,Popli Design Group,555 Penbrooke Dr,,Penfield,NY,14526,,585-388-2060,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,43.132392,-77.436576,09/14/2022,226510,2023-02-14 15:54:11,P,,,08/24/2022,J1772
ELEC,ROCKLAND COUNTY STATION 1,100 Baron Court,,Monsey,NY,10952,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.105862,-74.069200,02/20/2024,168261,2024-02-20 01:27:22,,,,11/11/2020,J1772
ELEC,Tarrytown Metro North Train Station,4173 Green Street,,Tarrytown,NY,10591,,866-816-7584,E,,Public,,,,5,,,EV Connect,http://evconnect.com/,GPS,41.075921,-73.865021,02/20/2024,65271,2024-02-20 02:18:59,,,,11/01/2014,J1772
ELEC,Village of Voorheesville Public Parking,29 Voorheesville Ave,,Voorheesville,NY,12186,,518-765-2692,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,42.651438,-73.928356,10/11/2022,229082,2023-02-14 15:54:11,P,,,09/17/2022,J1772
ELEC,KINGSTON VW STATION 1,1249 Ulster Ave,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.967208,-73.990374,02/20/2024,183754,2024-02-20 00:20:49,,,,02/04/2021,J1772
ELEC,TOWNHALLSTATION HILLSDALE,2609 NY-23,,Hillsdale,NY,12529,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.179557,-73.526568,02/20/2024,162310,2024-02-20 01:02:03,,,,06/12/2020,J1772
ELEC,PANYNJ LGA WEST 1,LGA West Garage LaGuardia Airport,,Flushing,NY,11371,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.773116,-73.874977,02/20/2024,162285,2024-02-20 01:03:16,,,,06/12/2020,J1772
ELEC,TH 001,1 Town Hall Rd,,Lake Katrine,NY,12449,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.976902,-74.002655,02/20/2024,206836,2024-02-20 01:37:21,,,,02/22/2022,J1772
ELEC,MATTHEW IMPORT STATION 1,3013 Vestal Rd,,Vestal,NY,13850,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.101716,-76.004193,02/20/2024,207128,2024-02-20 01:41:28,,,,02/25/2022,J1772
ELEC,STONELEIGH CHARGEPOINT1,76 Stoneleigh Plaza,,Bronxville,NY,10708,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.943350,-73.836205,02/20/2024,235768,2024-02-20 01:35:49,,,,11/06/2022,J1772
ELEC,DAWN HOMES SHOP STATION,708 Sandidge Way,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.688408,-73.834170,02/20/2024,257893,2024-02-20 01:52:16,,,,04/05/2023,J1772
ELEC,The Veneto,250 East 53rd Street,,New York,NY,10022,,888-998-2546,E,,Public,24 hours daily,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.756766,-73.967481,02/20/2024,124140,2024-02-20 00:15:12,,,,06/21/2019,J1772
ELEC,STAYBRIDGE STATION2,39 Wolf Rd,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.712961,-73.811472,02/20/2024,212941,2024-02-20 00:22:14,,,,03/27/2022,J1772
ELEC,Lucas Ford,3245 Hortons Ln,,Southold,NY,11971,,,E,,Public,Dealership business hours; Dealership permission required,,,2,,,Non-Networked,,200-9,41.069942,-72.437260,06/14/2022,52063,2023-02-14 15:54:11,P,,,02/01/2013,J1772
ELEC,ALBANY COUNTY DOH PUBLIC,175 Green St,,Albany,NY,12202,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.641412,-73.754678,02/20/2024,212210,2024-02-20 01:40:01,,,,03/23/2022,J1772
ELEC,Medina Wildwood Lake KOA,2711 County Line Rd,,Medina,NY,14103,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,4,,,LIVINGSTON,https://www.solution.energy,GPS,43.280820,-78.463060,01/09/2024,233100,2024-01-31 22:07:01,P,,,10/06/2022,J1772
ELEC,CDPHP - Patroon Creek Blvd,500 Patroon Creek Blvd,,Albany,NY,12206,,800-663-5633,E,,Public,24 hours daily,,,4,,,Blink Network,http://www.blinkcharging.com/,GPS,42.684834,-73.804965,02/19/2024,195573,2024-02-19 23:59:52,,,,10/16/2017,J1772
ELEC,Carman's Plaza - Tesla Supercharger,941 Carmans Road,,Massapequa,NY,11758,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,40.701995,-73.432692,07/01/2023,196257,2023-07-14 19:41:28,P,,,09/20/2021,TESLA
ELEC,WHITEFACE MT WHITEFACE 2,Unnamed Road,,Wilmington,NY,12997,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.359129,-73.858775,02/20/2024,170743,2024-02-20 01:30:20,,,,01/01/2021,J1772
ELEC,VOC STATION 1,106 Union St,,Cobleskill,NY,12043,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.678754,-74.483544,02/20/2024,192594,2024-02-20 01:34:23,,,,07/07/2021,J1772
ELEC,854ELLICOTT 854 ELLICOTT 3,854 Ellicott St,,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.901754,-78.867332,02/20/2024,180119,2024-02-20 01:05:44,,,,01/27/2021,J1772
ELEC,Bidleman Ford,305 Grant Ave,,Auburn,NY,13021,,315-252-7255,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,1,,,Non-Networked,,GPS,42.956043,-76.544178,09/14/2022,227071,2023-02-14 15:54:11,P,,,08/26/2022,J1772
ELEC,SIENA COLLEGE FOY HALL EVSE1,Friars Dr,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.719470,-73.753100,02/20/2024,193844,2024-02-20 01:35:40,,,,08/13/2021,J1772
ELEC,DBI PROPERTIES CG 600 HN LEFT,611 Hawks Nest Cir,,Greece,NY,14626,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.234407,-77.701486,02/20/2024,312345,2024-02-20 02:03:20,,,,10/05/2023,J1772
ELEC,SUNY BUFFALO PARKER 2,185 Hayes Rd,,Buffalo,NY,14214,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.951003,-78.822599,02/20/2024,182225,2024-02-20 01:30:26,,,,01/27/2021,J1772
ELEC,2nd Precinct,441 Central Park Ave,,Yonkers,NY,10704,,866-816-7584,E,,Public,,,,4,,,EV Connect,http://evconnect.com/,GPS,40.919447,-73.868721,02/20/2024,260293,2024-02-20 02:20:11,,,,05/04/2023,J1772
ELEC,799 SENECA STATION 11,799 Seneca St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.875107,-78.847375,02/20/2024,191244,2024-02-20 01:34:49,,,,06/19/2021,J1772
ELEC,33-10 Queens Blvd,33-10 Queens Blvd,,Queens,NY,11101,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://flo.ca/,GPS,40.744363,-73.931120,02/20/2024,204691,2024-02-20 02:28:58,,,,01/12/2022,J1772
ELEC,CLOVERWOOD SL CW-1,1 Wheatley Terrace,,Pittsford,NY,14534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.083603,-77.545719,02/20/2024,328457,2024-02-20 02:04:51,,,,02/15/2024,J1772
ELEC,Icon Parking E 48th Street - Tesla Destination,329 E 48th St,,New York,NY,10017,,877-727-5464  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.753079,-73.968032,10/06/2022,115097,2023-01-18 15:15:20,P,,,11/13/2015,J1772 TESLA
ELEC,PFIZER PR EV 21,401 N Middletown Rd,,Pearl River,NY,10965,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.076748,-74.018034,02/20/2024,323937,2024-02-20 02:05:18,,,,01/05/2024,J1772
ELEC,BURNS MGT SCH COMM BLD 3,1 Broom Shop Lane,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.741644,-73.787819,02/20/2024,174712,2024-02-20 01:17:28,,,,01/27/2021,J1772
ELEC,SUNY NEW PALTZ ELTING GYM 1,1 Sojourner Way,,New Paltz,NY,12561,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.742648,-74.084088,02/20/2024,162191,2024-02-20 01:06:31,,,,06/12/2020,J1772
ELEC,Courtyard by Marriott Kingston - Tesla Destination,500 Frank Sottile Blvd,,Kingston,NY,12401,,845-382-2300  877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.969757,-73.986431,10/06/2022,114962,2023-01-18 15:15:20,P,,,11/29/2017,J1772 TESLA
ELEC,THRUWAYPARKDR DOOR 6,180 Thruway Park Dr,,West Henrietta,NY,14586,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.045079,-77.672050,02/20/2024,312654,2024-02-20 02:02:50,,,,10/10/2023,J1772
ELEC,BEST WESTERN PL BEST 1.2,6605 Old Collamer Rd S,,East Syracuse,NY,13057,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.090440,-76.086630,02/20/2024,181850,2024-02-20 01:28:32,,,,01/27/2021,J1772
ELEC,AAA WESTCENTRAL AAA L2 3,100 International Drive,,Amherst,NY,14221,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.978246,-78.730189,02/20/2024,261206,2024-02-20 01:58:10,,,,05/23/2023,J1772
ELEC,Main Street Parking Lot,62 Main St,,Tuckahoe,NY,10707,,888-998-2546,E,,Public,24 hours daily,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.950279,-73.827299,02/20/2024,250766,2024-02-20 00:05:40,,,,12/22/2022,J1772
ELEC,ALBANY COUNTY ST1 208 WASH AV,208 Washington ave,,Albany,NY,12210,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.656637,-73.764108,02/20/2024,218497,2024-02-20 01:43:06,,,,05/19/2022,J1772
ELEC,Northville Waterfront Park,412 S Main St,,Northville,NY,12134,,615-743-3090,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,2,,,Non-Networked,,GPS,43.221527,-74.169122,10/11/2022,229067,2023-02-14 15:54:11,P,,,09/19/2022,J1772
ELEC,PARKING GARAGE STATION 2,15 Bank St,,White Plains,NY,10606,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.031107,-73.774648,02/20/2024,162386,2024-02-20 00:33:01,,,,06/12/2020,J1772
ELEC,Brighton Memorial Library,2300 Elmwood Ave,,Rochester,NY,14618,,585-784-5300,E,,Public,24 hours daily,,,2,,,Non-Networked,,200-9,43.127059,-77.575573,03/08/2023,149107,2024-01-31 22:07:01,LG,,,09/26/2016,J1772
ELEC,"Sylvan Parking 23-25 31st St, Astoria - Tesla Destination",23-25 31st St,,Astoria,NY,11105,,718-204-5005  877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.773640,-73.913520,10/06/2022,150585,2023-01-18 15:15:20,P,,,03/30/2019,TESLA
ELEC,New King Holding LLC,10 New King St,,West Harrison,NY,10604,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,2,,,AMPUP,https://ampup.io/,200-9,41.083498,-73.714367,10/11/2022,230215,2023-02-14 15:54:11,P,,,09/15/2022,J1772
ELEC,CITY OF ALBANY STATION 6,809 Clinton Ave,,Albany,NY,12206,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.671187,-73.775727,02/20/2024,262444,2024-02-20 01:35:50,,,,06/09/2023,J1772
ELEC,EVCS1 MUAR ST LOT,40 Muar St,,Canandaigua,NY,14424,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.875912,-77.263303,02/20/2024,316218,2024-02-20 02:01:49,,,,10/28/2023,J1772
ELEC,Greenporter Hotel - Tesla Destination,326 Front St,,Greenport,NY,11944,,631-477-0066  877-798-3752,E,,Public,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.101671,-72.364235,10/06/2022,114947,2023-01-18 15:15:20,P,,,08/05/2016,TESLA
ELEC,Hampton Inn & Suites Yonkers - Westchester - Tesla Destination,555 Tuckahoe Rd,,Yonkers,NY,10710,,914-963-3200  877-798-3752,E,,Public,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.952649,-73.850804,10/06/2022,115252,2023-01-18 15:15:20,P,,,09/27/2016,J1772 TESLA
ELEC,Nott/Seward Lot,Nott Street,,Schenectady,NY,12308,,866-816-7584,E,,Public,,,,6,,,EV Connect,http://evconnect.com/,GPS,42.820386,-73.930545,02/20/2024,156044,2024-02-20 02:19:06,,,,05/01/2020,J1772
ELEC,North Utica Shopping Center - Tesla Supercharger,50 Auert Ave.,,Utica,NY,13502,,877-798-3752,E,,Public,24 hours daily,,,,8,,Tesla,https://www.tesla.com/supercharger,200-9,43.113878,-75.206857,07/01/2023,102347,2023-07-14 19:41:28,P,,,02/01/2015,TESLA
ELEC,ELLIS CHEVY LVL2 #2,551 E Main St,,Malone,NY,12953,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.850010,-74.284450,02/20/2024,222224,2024-02-20 01:44:55,,,,06/30/2022,J1772
ELEC,Romaine Ave,71-99 Romaine Ave,,Yonkers,NY,10705,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,40.919610,-73.895709,02/20/2024,260246,2024-02-20 02:20:11,,,,05/03/2023,J1772
ELEC,Belmont Parking,113 E 84th St,Located between Park Ave & Lexington ||Ave. Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,New York,NY,10028,,888-998-2546,E,,Public,24 hours daily,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.773472,-73.955287,02/20/2024,187814,2024-02-20 00:11:34,,,,04/20/2021,J1772
ELEC,Longhouse Reserve - Tesla Destination,133 Hands Creek Rd,,East Hampton,NY,11937,,631-329-3568  877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.982212,-72.200115,10/06/2022,150564,2023-01-18 15:15:20,P,,,04/01/2019,TESLA
ELEC,TONAWANDA YPR STATION ONE,1178-1210 Parker blvd,,Buffalo,NY,14223,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.971040,-78.838550,02/20/2024,184981,2024-02-20 01:31:36,,,,02/16/2021,J1772
